id,parent,level,type,name,status,ticker,shares_b,value_b,valuation,owns_pct,votes_pct,desc,rev_a,rev_a_yoy,rev_q,rev_q_period,rev_q_yoy,profit,metric,facts,take,video_url,source_url,checked
elon,,0,hub,Elon Musk,,,,,$1.30T,,,"Controls the empire through votes, not ownership",,,,,,,Owns 42% of SpaceX but controls 82.4% of the votes,"His new SpaceX deal, the largest pay package in history, hands him the votes upfront | But the shares only vest if SpaceX hits $7.5 trillion and 1 million people live on Mars | Tesla stake of about $277B, now held in shares after he exercised his 2018 options on June 16, 2026 | SpaceX stake of about 5.2 billion Class B shares per its S-1/A | SpaceX listed on Nasdaq on June 12, 2026, lifting his net worth past $1 trillion",The gap is the whole story. He owns far less than he controls. In SpaceX he holds 42% of the money but 82.4% of the votes. Watch whether his voting control keeps climbing even as outside shareholders pour money in.,https://youtu.be/sLgZCx9f-f0,https://www.cnbc.com/2026/06/03/elon-musks-net-worth-poised-to-sail-past-1-trillion-in-spacex-ipo.html,2026-06-19
spacex,elon,1,company,SpaceX,public,SPCX,13.08,1750,$1.77T (IPO target),42,82.4,"Rockets, Starlink internet, and now AI",$18.7B (2025),~+33% YoY,,,,,,"Listed Jun 12 2026 on Nasdaq as SPCX at a $135 IPO price | Three segments: Space, Connectivity, AI | Absorbed xAI (Grok) and X in the Feb 2026 merger | Net loss of $4.94B in 2025, and a $4.28B loss in Q1 2026 | Total losses since 2002 top $41.3B","The cleanest version of the whole map. Public money in, near-total control kept. The number I watch is whether AI's losses ever force a change.",https://youtu.be/rlbt7-nhYKg,https://www.thevccorner.com/p/spacex-spcx-ipo-s1-teardown-valuation-2026,2026-06-11
tesla,elon,1,company,Tesla,public,TSLA,3.21,1390,$1.39T,19.9,19.9,"Electric cars, batteries, self-driving and robots",$94.7B (2025),-3% YoY,$22.4B,Q1 2026,+16% YoY,,,"~1.64M vehicles delivered in 2025 | Q1 2026 auto gross margin was 19.2%, up from 16.3% a year earlier | Bought $2B of SpaceX equity in Q1 2026 | Raised 2026 capex guidance to over $25B, and ended Model S and X production in May 2026 | One share, one vote: no super-voting shares | Exercised 304 million 2018-package options on June 16, 2026, paying the strike with withheld shares and no open-market sale","Revenue actually fell in 2025. Cars are not the growth story anymore. The number I watch now is energy, not deliveries.",https://youtu.be/Qbe1jMIyCc8,https://www.sec.gov/Archives/edgar/data/0001318605/000162828026003837/exhibit991.htm,2026-06-19
boring,elon,1,company,The Boring Company,private,,,7,$7B,,,Digs tunnels for underground transit (the Loop),,,,,,,"Last round: Series C, Apr 2022","Runs the Las Vegas Loop, 4M+ riders across about 11 stations | Airport service to Harry Reid opened late 2025, about $12 a ride | Signed Dubai Loop deal, 6.4 km and 4 stations, tunneling late 2026 | Privately funded by casinos and developers, no taxpayer money | ~$908M raised, last priced round Series C in 2022 | Valuation has slipped to around $7B on secondary estimates","Still the quiet one, but the Dubai deal and the airport line show it is finally moving, even as the valuation lags.",#,https://sacra.com/c/the-boring-company/,2026-06-11
neuralink,elon,1,company,Neuralink,private,,,9,$9B,,,Brain implants that let people control devices by thought,,,,,,,"Last round: Series E, Jun 2025","N1 implant in more than 20 patients by early 2026 | Raised about $1.85B total; Series E at $9B in June 2025 | Blindsight vision implant has FDA breakthrough status, first humans planned 2026 | Plans high-volume production and near-automated surgery in 2026 | Still pre-revenue, first revenue not projected until 2031","The highest-risk, longest-horizon company: real medical progress, no revenue. Locked away from public investors for now. Watch for any pre-IPO chatter.",#,https://techcrunch.com/2025/05/28/elon-musks-neuralink-raises-600m-at-9b-valuation/,2026-06-11
space,spacex,2,segment,Space,public,,,4.1,,,,"Launch services and spacecraft, the rocket business",$4.1B (2025),,,,,-$657M operating loss (2025),,"Active vehicles: Falcon 9, Falcon Heavy, Dragon | The loss is driven by Starship R&D | Starship still in test flights",The original business now loses money on purpose. Every spare dollar feeds Starship. The question is when Starship finally carries paying payloads.,#,https://www.morningstar.com/stocks/6-charts-spacexs-s-1-financials,2026-06-11
connectivity,spacex,2,segment,Connectivity,public,,,11.4,,,,"Starlink internet, plus Starshield for governments",$11.4B (2025),+50% YoY,$3.26B,Q1 2026,,$4.4B operating income (2025),,"Almost all of this revenue is Starlink | Starshield is the government and defense layer, not broken out separately | About 63% EBITDA margin in 2025 | The cash engine that funds Starship and the AI buildout","This is the engine. Starlink is the only part throwing off real cash, and it bankrolls all of SpaceX. Remember this one number.",#,https://www.morningstar.com/stocks/6-charts-spacexs-s-1-financials,2026-06-11
spacexai,spacex,2,segment,AI,public,,,3.2,,,,Grok AI and the X social network,$3.2B (2025),,,,,-$6.4B operating loss (2025),,"Formed by folding xAI (Grok) and X into SpaceX in Feb 2026 | Runs the Colossus data centers in Memphis; Colossus 2 came online in Jan 2026 with 555,000 Nvidia GPUs and 2 gigawatts of power | Leases compute to Anthropic at $1.25B a month and Google at about $920M a month, roughly $26B a year combined | Both compute deals can be cancelled on 90 days notice | May 2026: cleared by the Pentagon for its most sensitive data, IL6 and IL7","Real revenue, bigger losses. The thing is this segment could justify the whole valuation or sink it. Watch the compute deals.",https://youtu.be/d-oTyUVgj44,https://www.thevccorner.com/p/spacex-spcx-ipo-s1-teardown-valuation-2026,2026-06-11
falcon9,space,3,product,Falcon 9,public,,,2.5,,,,The reusable rocket that funds the space business,,,,,,,"165 launches in 2025, a record","123 of the 165 launches were SpaceX's own Starlink missions | Reusability is the edge, with some boosters past 30 flights | List price is about $74 million per launch | 2025 was the peak; flights ease off as SpaceX shifts to Starship","The quiet cash-and-reputation engine. 165 launches in a year, mostly its own Starlink. This is what funds the moonshots.",https://youtu.be/jAqU-nKr43Q,https://www.morningstar.com/stocks/6-charts-spacexs-s-1-financials,2026-06-11
starship,space,3,product,Starship,public,,,1.6,,,,The giant next-generation rocket aimed at Mars,,,,,,,"Flight 12 flew May 22, 2026; Flight 13, the first orbital attempt, is Q3 2026 at the earliest","Version 3 carries 100 tons to orbit, versus about 23 for Falcon 9 | Flight 12 lost one engine but held its trajectory | Flight 13 is the first orbital attempt, pending an FAA review | Built to launch the new Starlink V3 satellites in the second half of 2026","The biggest bet inside SpaceX. The thing is everything waits on it: Mars, Starlink V3, the next decade. Watch Flight 13 for the first orbit.",https://youtu.be/xa3OOsEHxWE,https://www.morningstar.com/stocks/6-charts-spacexs-s-1-financials,2026-06-11
starlink,connectivity,3,product,Starlink,public,,,10,,,,Consumer and business satellite internet,,,,,,,"10.3M subscribers as of Q1 2026, up 105% YoY","Revenue per user fell from $99 a month in 2023 to $66 in Q1 2026 | Runs about 9,600 satellites, roughly 65% of all active satellites | Beams direct to phones in about 30 countries | Tested a $39 a month floor in March 2026, then raised prices $5 to $10 in May 2026 | Churn rate is still not disclosed","Subscribers keep climbing while revenue per user keeps falling. The thing is I do not know which one wins. Watch which sets the trajectory.",https://youtu.be/63GLZINsYjE,https://www.morningstar.com/stocks/6-charts-spacexs-s-1-financials,2026-06-11
starshield,connectivity,3,product,Starshield,public,,,1.4,,,,A secure satellite network for defense and government,,,,,,,Government and defense contracts,"The national-security version of Starlink | Won a $2.29B Starshield contract in 2026","The quiet, high-margin government layer most retail investors never hear about. Just landed a $2.29B defense contract.",#,https://www.morningstar.com/stocks/6-charts-spacexs-s-1-financials,2026-06-11
grok,spacexai,3,product,Grok,public,,,2,,,,"The xAI chatbot, built to rival ChatGPT",,,,,,,"Now runs Starlink's support line, resolving 70% of calls before a human","About 117 million people use Grok features | Handles Starlink customer support, with 1 in 5 callers buying on the call | SpaceX exercised its option to buy the coding tool Cursor for $60 billion in SpaceX stock on June 16, 2026, set to close in Q3 2026, partly for its data to retrain Grok | Grok 5 is training on the Colossus 2 cluster","The product SpaceX is spending heavily to rebuild. The thing is the data is the moat. Watch whether Cursor closes the gap.",https://youtu.be/Cqi9V87t8WE,https://techcrunch.com/2026/06/16/spacex-to-acquire-cursor-for-60b-in-stock-days-after-blockbuster-ipo/,2026-06-19
x,spacexai,3,product,X,public,,,1.2,,,,The social network formerly called Twitter,,,,,,,Feeds data to Grok,"About 350 million posts a day | Around 550 million monthly users across X and Grok | Bought by Elon in 2022, folded into the AI segment in 2026","Bought for $44B, folded into the AI bet. The thing is its real worth now is the data it feeds Grok.",#,https://www.cnbc.com/2026/02/03/musk-xai-spacex-biggest-merger-ever.html,2026-06-11
